B09021001,B09021002,B09021003,B09021004,B09021005,B09021006,B09021007,B09021008,B09021009,B09021010,B09021011,B09021012,B09021013,B09021014,B09021015,B09021016,B09021017,B09021018,B09021019,B09021020,B09021021,B09021022,B09021023,B09021024,B09021025,B09021026,B09021027,B09021028
Total:,Lives alone,Householder living with spouse or spouse of householder,Householder living with unmarried partner or unmarried partner of householder,Child of householder,Other relatives,Other nonrelatives,18 to 34 years:,Lives alone,Householder living with spouse or spouse of householder,Householder living with unmarried partner or unmarried partner of householder,Child of householder,Other relatives,Other nonrelatives,35 to 64 years:,Lives alone,Householder living with spouse or spouse of householder,Householder living with unmarried partner or unmarried partner of householder,Child of householder,Other relatives,Other nonrelatives,65 years and over:,Lives alone,Householder living with spouse or spouse of householder,Householder living with unmarried partner or unmarried partner of householder,Child of householder,Other relatives,Other nonrelatives
0,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2
